repository,pr_number,author,title,created_at,merged_at,base_branch,lines_added,lines_deleted,total_lines_changed,files_changed
BillingHubApi,1020,chriscovert,"FSP-11517 Show pay now button on emailed receipts if payment links enabled",2025-05-15T17:09:57Z,2025-05-16T15:44:18Z,master,207,21,228,4
BillingHubApi,1019,davidcooper-fsp,"FSP-11550 Optimize statement generation by removing unused SQL queries",2025-05-15T16:53:14Z,2025-05-19T14:02:25Z,master,117,64,181,10
BillingHubApi,1018,danwatkins-fsp,"FSP-11472 Show served by system for auto payment invoice receipt",2025-05-14T14:28:41Z,2025-05-14T18:32:48Z,master,28,1,29,5
BillingHubApi,1017,danwatkins-fsp,"FSP-11477 Set auto payment status to none when billed invoice is paid",2025-05-13T15:29:42Z,2025-05-14T14:55:41Z,master,362,144,506,12
BillingHubApi,1016,danwatkins-fsp,"Fix SalesTransactionReturn_Save indentation",2025-05-12T22:22:49Z,2025-05-13T13:23:17Z,master,102,98,200,1
BillingHubApi,1015,danwatkins-fsp,"FSP-11470 Relax sales transaction fetch to allow user to fetch their own sale without add invoice permission",2025-05-12T20:09:36Z,2025-05-12T21:16:51Z,master,34,3,37,3
BillingHubApi,1014,danwatkins-fsp,"FSP-11283 Add invoice line item type to create customer purchase endpoint",2025-05-12T20:08:09Z,2025-05-13T13:19:28Z,master,284,77,361,7
BillingHubApi,1013,chriscovert,"FSP-11471 QBO Payment Method sync updates",2025-05-12T19:59:38Z,2025-05-15T19:28:54Z,master,224,27,251,3
BillingHubApi,1011,danwatkins-fsp,"FSP-11371 Add AutoPaymentEnqueueFunction and AutoPaymentDequeueFunction",2025-05-08T21:23:33Z,2025-05-09T20:20:40Z,master,1104,7,1111,20
BillingHubApi,1010,danwatkins-fsp,"FSP-11370 Add AutoPayWhenDue and PaymentDueAtUtc properties to sale update and payment",2025-05-08T14:52:52Z,2025-05-08T19:09:11Z,master,235,19,254,14
BillingHubApi,1009,chriscovert,"FSP-11457 Add account balance to invoice receipts",2025-05-07T13:32:18Z,2025-05-16T14:35:09Z,master,211,21,232,8
BillingHubApi,1008,danwatkins-fsp,"FSP-11387 Add payment links settings endpoints",2025-05-06T14:35:26Z,2025-05-06T16:46:25Z,master,346,7,353,15
BillingHubApi,1007,chriscovert,"FSP-11455 BE: Add ShowAccountBalance to invoice preferences Fetch/PUT",2025-05-06T13:25:23Z,2025-05-15T19:21:33Z,master,17,8,25,3
BillingHubApi,1006,chriscovert,"FSP-11142 Updates to invocie receipts",2025-05-05T21:24:45Z,2025-05-14T14:26:32Z,master,1079,719,1798,9
BillingHubApi,1005,chriscovert,"FSP-11383 Update AccountingSyncFunctions to handle nightly and hourly frequencies",2025-05-02T13:47:17Z,2025-05-05T13:59:36Z,master,411,47,458,8
BillingHubApi,1004,chriscovert,"FSP-11382 Add SyncFrequency to AccountingSyncSettings",2025-04-30T15:45:33Z,2025-05-01T16:06:00Z,master,63,13,76,7
BillingHubApi,1003,danwatkins-fsp,"Fix failing membership subscription tests",2025-04-30T14:19:55Z,2025-04-30T14:37:31Z,master,6,6,12,1
BillingHubApi,1002,danwatkins-fsp,"FSP-11337 Handle tblInvoicingLineItems.PublicLineItemGuid being not null",2025-04-30T13:59:48Z,2025-05-01T16:14:48Z,master,11,9,20,8
BillingHubApi,1000,chriscovert,"FSP-11386 Add isCreditCard filter to Accounting Sync PaymentMethods fetch",2025-04-28T16:22:54Z,2025-05-01T16:03:17Z,master,146,40,186,14
BillingHubApi,999,danwatkins-fsp,"FSP-11345 Apply discounts on create customer purchase endpoint",2025-04-25T16:43:03Z,2025-04-28T15:30:48Z,master,365,82,447,14
BillingHubApi,998,danwatkins-fsp,"FSP-11297 Add billing settings line item fetch by public GUID",2025-04-25T15:18:39Z,2025-04-28T15:24:50Z,master,214,44,258,20
BillingHubApi,997,chriscovert,"FSP-11338 Sync AccountingPaymentMethodId to QBO",2025-04-25T13:21:42Z,2025-05-02T13:53:37Z,master,549,18,567,4
BillingHubApi,996,danwatkins-fsp,"FSP-11281 Add AllowPurchaseOnline to line item and require true for customer purchase",2025-04-24T22:00:27Z,2025-04-25T14:35:09Z,master,361,50,411,16
BillingHubApi,995,danwatkins-fsp,"FSP-11368 Relax line item and tax single fetches to not require any permissions",2025-04-24T21:09:23Z,2025-04-24T21:46:28Z,master,35,16,51,4
BillingHubApi,994,danwatkins-fsp,"Update Testcontainers to 4.4.0 and reduce max concurrent fixture initialization count",2025-04-24T14:59:24Z,2025-04-24T15:35:27Z,master,15,15,30,2
BillingHubApi,993,danwatkins-fsp,"FSP-11262 Add create customer purchase endpoint",2025-04-22T14:36:52Z,2025-04-24T21:42:53Z,master,795,18,813,18
BillingHubApi,992,davidcooper-fsp,"FSP-11065 Get Connection Returns No Content when there's no consumer",2025-04-18T21:46:02Z,2025-04-21T14:32:46Z,master,414,332,746,10
BillingHubApi,991,chriscovert,"FSP-11022 Add NetSuite to AccountingSync Customer Create",2025-04-18T16:48:06Z,2025-04-18T18:51:40Z,master,182,16,198,11
BillingHubApi,990,chriscovert,"FSP-11020 Add NetSuite support to AccountingSync Misc Settings PUT",2025-04-18T13:05:30Z,2025-04-18T14:45:09Z,master,159,4,163,2
BillingHubApi,989,chriscovert,"FSP-11032 Add Netsuite AccountType filters to Account Search",2025-04-17T18:06:14Z,2025-04-17T19:21:59Z,master,435,144,579,10
BillingHubApi,988,davidcooper-fsp,"FSP-2965 Migrate Customer Statement Emailer to Billing Hub Azure Functions",2025-04-17T16:18:38Z,2025-04-29T21:56:22Z,master,1017,511,1528,23
BillingHubApi,987,chriscovert,"FSP-11032 Add Netsuite AccountType filters to Account Search",2025-04-17T16:04:51Z,2025-04-18T16:04:27Z,master,158,33,191,7
BillingHubApi,985,chriscovert,"FSP-11007 Add NetSuite to Accounting Sync Customer Search",2025-04-15T21:22:33Z,2025-04-17T18:01:51Z,fsp-11124-payment-methods-put,435,144,579,10
BillingHubApi,983,danwatkins-fsp,"Dissolve PaymentTokensUtility into TestUtility",2025-04-15T16:49:21Z,2025-04-15T18:53:19Z,master,292,317,609,20
BillingHubApi,982,chriscovert,"FSP-11145  Fix payment method SuiteQL query",2025-04-15T14:04:22Z,2025-04-15T14:12:21Z,master,1,1,2,1
